UID          PID    PPID  C STIME TTY          TIME CMD
lawlessl    1839    1473  0 16:54 ?        00:00:00 /usr/libexec/evolution-source-registry
lawlessl    1847    1473  0 16:54 ?        00:00:00 /usr/libexec/evolution-calendar-factory
lawlessl    1860    1473  0 16:54 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
lawlessl    1863    1510  0 16:54 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
lawlessl    1874    1473  0 16:54 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
lawlessl    1892    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-a11y-settings
lawlessl    1893    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-color
lawlessl    1895    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-datetime
lawlessl    1896    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-housekeeping
lawlessl    1897    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-keyboard
lawlessl    1898    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-media-keys
lawlessl    1899    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-power
lawlessl    1900    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-print-notifications
lawlessl    1901    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-rfkill
lawlessl    1902    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
lawlessl    1903    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-sharing
lawlessl    1904    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-smartcard
lawlessl    1905    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-sound
lawlessl    1906    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-usb-protection
lawlessl    1907    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-wacom
lawlessl    1908    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-wwan
